Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),Category
RIG,Transocean Ltd.,5.3,0.12,2.32%,15.258M,18.109M,4.638B,,Most_active
RIOT,"Riot Platforms, Inc.",9.81,0.49,5.32%,22.401M,23.025M,2.832B,23.35,"Top_Gainers, Most_active"
RIVN,"Rivian Automotive, Inc.",18.11,1.35,8.05%,96.941M,46.339M,18.025B,,"Top_Gainers, Most_active"
RKLB,"Rocket Lab USA, Inc.",5.65,0.32,6.00%,11.178M,7.492M,2.784B,,"Top_Gainers, Most_active"
RNG,"RingCentral, Inc.",30.76,1.8,6.22%,1.85M,1.153M,2.835B,,Top_Gainers
RTMVY,Rightmove plc,15.04,0.61,4.23%,"21,953","47,046",5.956B,23.87,Top_Gainers
RUN,Sunrun Inc.,17.2,1.13,7.03%,19.206M,12.096M,3.813B,,"Top_Gainers, Most_active"
RVMD,"Revolution Medicines, Inc.",45.14,1.79,4.13%,3.06M,1.351M,7.447B,,Top_Gainers
RXRX,"Recursion Pharmaceuticals, Inc.",8.36,0.68,8.85%,10.133M,5.605M,2.244B,,"Top_Gainers, Most_active"
RYTM,"Rhythm Pharmaceuticals, Inc.",50.02,3.42,7.34%,"6,24,144","5,50,256",3.05B,,Top_Gainers
SAH,"Sonic Automotive, Inc.",56.69,1.58,2.87%,"2,01,801","2,00,064",1.933B,11.62,Undervalued_growth_stocks
SBUX,Starbucks Corporation,74.83,1.53,2.09%,10.422M,12.685M,84.76B,20.61,Most_active
SEM,Select Medical Holdings Corporation,37.49,0.49,1.32%,"4,16,762","6,08,203",4.875B,17.85,Undervalued_growth_stocks
SGRY,"Surgery Partners, Inc.",26.87,1.32,5.17%,1.274M,"9,83,624",3.415B,"2,687.00",Top_Gainers
SIG,Signet Jewelers Limited,88.09,-1.84,-2.05%,"8,54,224","8,10,840",3.929B,7.15,Undervalued_growth_stocks
SIRI,Sirius XM Holdings Inc.,3.71,0.1,2.77%,26.653M,37.933M,14.271B,11.24,Most_active
SKX,"Skechers U.S.A., Inc.",68.16,0.26,0.38%,1.968M,1.877M,10.396B,17.94,Undervalued_growth_stocks
SLM,SLM Corporation,21.91,0.2,0.92%,1.066M,1.582M,4.814B,6.83,Undervalued_growth_stocks
SMTC,Semtech Corporation,35.86,-1.04,-2.82%,2.453M,2.113M,2.318B,,Top_Losers
SNAP,Snap Inc.,16.18,-0.19,-1.16%,14.508M,26.153M,26.552B,,Most_active
SOFI,"SoFi Technologies, Inc.",6.97,0.2,2.95%,36.57M,38.126M,7.369B,,Most_active
SOUN,"SoundHound AI, Inc.",6.2,0.83,15.46%,106.718M,26.308M,2.041B,,"Top_Gainers, Most_active"
SPSC,"SPS Commerce, Inc.",200.55,7.36,3.81%,"1,87,824","1,82,754",7.427B,109.59,Top_Gainers
SSNC,"SS&C Technologies Holdings, Inc.",65.31,2.44,3.88%,1.721M,"9,35,608",16.153B,25.92,Top_Gainers
STRL,"Sterling Infrastructure, Inc.",122.39,5.18,4.42%,"3,44,166","3,45,504",3.777B,25.5,Top_Gainers
STVN,Stevanato Group S.p.A.,21.71,0.76,3.63%,1.622M,"6,70,166",5.922B,39.47,Top_Gainers
SUHJY,Sun Hung Kai Properties Limited,9.19,0.47,5.39%,"31,810","2,10,667",26.842B,8.43,Top_Gainers
SWN,Southwestern Energy Company,6.9,-0.04,-0.58%,19.307M,13.543M,7.61B,,Most_active
T,AT&T Inc.,18.81,-0.05,-0.27%,37.776M,33.968M,134.871B,10.11,Most_active
TEM,"Tempus AI, Inc",39.76,2.26,6.03%,1.631M,1.967M,6.554B,,Top_Gainers
TEX,Terex Corporation,54.62,0.31,0.57%,"8,70,011","8,28,740",3.676B,7.22,Undervalued_growth_stocks
TGT,Target Corporation,152.85,1.45,0.96%,2.601M,4.059M,70.714B,17.12,Undervalued_growth_stocks
THC,Tenet Healthcare Corporation,134.39,0.66,0.49%,"7,50,963",1.306M,13.128B,5.21,Undervalued_growth_stocks
TIGR,UP Fintech Holding Limited,4.53,-0.08,-1.74%,"3,00,723",1.159M,710.716M,25.17,Undervalued_growth_stocks
TILE,"Interface, Inc.",15.48,0.28,1.84%,"2,74,415","4,73,877",901.599M,15.33,Undervalued_growth_stocks
TIMB,TIM S.A.,15.58,0.14,0.91%,"4,93,359","4,49,701",7.535B,13.91,Undervalued_growth_stocks
TK,Teekay Corporation,8.13,-0.11,-1.33%,"4,86,997","5,81,275",742.937M,4.99,Undervalued_growth_stocks
TKC,Turkcell Iletisim Hizmetleri A.S.,8.18,-0.02,-0.24%,1.031M,"4,33,209",7.348B,17.4,Undervalued_growth_stocks
TM,Toyota Motor Corporation,207.59,3.86,1.89%,"2,15,057","2,90,879",279.615B,9.17,Undervalued_growth_stocks
TOST,"Toast, Inc.",25.22,0.85,3.49%,5.246M,7.337M,14.001B,,Top_Gainers
TPG,TPG Inc.,43.95,1.5,3.53%,"9,20,171","7,65,954",16.032B,,Top_Gainers
TREX,"Trex Company, Inc.",81.55,3.17,4.04%,1.571M,"8,85,148",8.864B,35,Top_Gainers
TSLA,"Tesla, Inc.",248.23,7.2,2.99%,155.178M,97.454M,791.655B,63.32,Most_active
TSM,Taiwan Semiconductor Manufacturing Company Limited,187.35,2.85,1.54%,17.991M,14.978M,971.612B,36.38,Most_active
U,Unity Software Inc.,17.11,0.59,3.57%,11.675M,8.613M,6.688B,,"Top_Gainers, Most_active"
UAA,"Under Armour, Inc.",6.87,-0.12,-1.72%,12.449M,9.19M,2.973B,13.21,Most_active
UAL,"United Airlines Holdings, Inc.",44.72,-0.92,-2.02%,8.966M,8.836M,14.704B,5.46,Undervalued_growth_stocks
UBER,"Uber Technologies, Inc.",72.43,-1.1,-1.50%,14.645M,18.187M,151.344B,114.97,Most_active
UGP,Ultrapar Participações S.A.,4.19,-0.08,-1.87%,"7,37,176",1.233M,4.661B,9.52,Undervalued_growth_stocks
UMC,United Microelectronics Corporation,8.32,0.06,0.73%,12.256M,8.576M,20.848B,12.42,Most_active
URBN,"Urban Outfitters, Inc.",46.67,-1.39,-2.89%,1.9M,1.615M,4.359B,14.86,"Top_Losers, Undervalued_growth_stocks"
USLM,"United States Lime & Minerals, Inc.",395.38,22.75,6.11%,"31,382","23,903",11.286B,141.21,Top_Gainers
VAL,Valaris Limited,76.76,1.26,1.67%,"6,07,123","9,24,840",5.558B,6.82,Undervalued_growth_stocks
VALE,Vale S.A.,11.52,0.13,1.14%,21.343M,25.669M,49.199B,6.36,Most_active
VC,Visteon Corporation,110.24,1.52,1.40%,"3,56,142","2,53,527",3.042B,6.35,Undervalued_growth_stocks
VERA,"Vera Therapeutics, Inc.",36.62,-0.95,-2.53%,"4,41,111","7,79,038",2.003B,,Top_Losers
VOYA,"Voya Financial, Inc.",71.86,-0.57,-0.79%,"7,14,569","7,69,237",7.236B,10.22,Undervalued_growth_stocks
VRT,Vertiv Holdings Co,89.67,-3.19,-3.44%,10.27M,9.409M,33.568B,85.4,"Top_Losers, Most_active"
VZ,Verizon Communications Inc.,41.43,0.13,0.31%,11.059M,17.338M,174.389B,15.52,Most_active
WBA,"Walgreens Boots Alliance, Inc.",11.5,0.07,0.61%,17.138M,15.695M,9.928B,,Most_active
WBD,"Warner Bros. Discovery, Inc.",7.4,0.02,0.27%,17.158M,28.646M,18.132B,,Most_active
WDFC,WD-40 Company,239.87,11.24,4.92%,"2,04,680","93,664",3.251B,47.13,Top_Gainers
WEGZY,WEG S.A.,8.56,0.41,5.03%,"51,178","66,161",35.913B,34.24,Top_Gainers
WES,"Western Midstream Partners, LP",40.96,0.27,0.66%,"5,20,575",1.106M,15.585B,11.54,Undervalued_growth_stocks
WFC,Wells Fargo & Company,56.54,-3.62,-6.02%,52.887M,18.251M,197.117B,11.59,"Top_Losers, Most_active"
WIT,Wipro Limited,6.72,0.23,3.54%,3.511M,2.824M,35.108B,26.88,Top_Gainers
WMMVY,"Wal-Mart de México, S.A.B. de C.V.",38.65,1.87,5.08%,"45,615","72,956",67.43B,22.6,Top_Gainers
WRK,WestRock Company,51.51,1.76,3.54%,11.862M,3.209M,13.304B,42.57,"Top_Gainers, Most_active"
WST,"West Pharmaceutical Services, Inc.",322.98,-10.32,-3.10%,"6,27,848","5,51,241",23.644B,42.55,Top_Losers
XENE,Xenon Pharmaceuticals Inc.,42.92,1.74,4.23%,"6,69,787","4,01,229",3.239B,,Top_Gainers
XPEV,XPeng Inc.,8.84,0.15,1.73%,18.245M,13.568M,8.352B,,Most_active
XYF,X Financial,4.32,-0.1,-2.26%,"2,883","17,353",213.575M,1.21,Undervalued_growth_stocks
YALA,Yalla Group Limited,4.7,0.01,0.21%,"87,713","1,86,469",746.684M,6.62,Undervalued_growth_stocks
YY,JOYY Inc.,34.68,0.72,2.12%,"3,04,000","3,64,135",2.057B,6.75,Undervalued_growth_stocks
ZIM,ZIM Integrated Shipping Services Ltd.,17.05,-0.82,-4.59%,9.266M,5.845M,2.051B,,"Top_Losers, Most_active"
