Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),Category
BTE,Baytex Energy Corp.,3.72,-0.02,-0.53%,9.822M,9.096M,3.007B,,Most_active
BTG,B2Gold Corp.,3.04,0.06,2.01%,10.377M,10.914M,3.974B,,Most_active
BWLP,BW LPG Limited,15.7,-1.53,-8.88%,"8,06,081","1,95,650",2.15B,4.3,Top_Losers
BXP,"BXP, Inc.",67.76,2.53,3.88%,1.719M,1.206M,11.94B,55.54,Top_Gainers
C,Citigroup Inc.,64.52,-1.19,-1.81%,29.595M,12.483M,124.246B,17.82,Most_active
CAKE,The Cheesecake Factory Incorporated,37.97,0.22,0.58%,"7,21,681","9,99,712",1.935B,17.34,Undervalued_growth_stocks
CAR,"Avis Budget Group, Inc.",107.43,3.75,3.62%,"6,34,998","6,82,990",3.83B,3.45,Top_Gainers
CASH,"Pathward Financial, Inc.",59.45,0.37,0.63%,"1,85,369","1,61,488",1.502B,8.94,Undervalued_growth_stocks
CBT,Cabot Corporation,94.99,1.25,1.33%,"3,02,615","3,24,656",5.249B,12.07,Undervalued_growth_stocks
CCL,Carnival Corporation & plc,18.23,0.11,0.61%,22.423M,29.507M,27.305B,25.68,Most_active
CE,Celanese Corporation,142.24,3.05,2.19%,"8,77,640","7,16,900",15.535B,7.8,Undervalued_growth_stocks
CFLT,"Confluent, Inc.",26.14,1.1,4.39%,5.773M,3.735M,8.308B,,Top_Gainers
CHX,ChampionX Corporation,32.68,0.1,0.31%,2.797M,1.911M,6.223B,17.76,Undervalued_growth_stocks
CIG,Companhia Energética de Minas Gerais - CEMIG,1.92,-0.02,-1.03%,"6,59,289",2.025M,6.056B,5.19,Undervalued_growth_stocks
CKHUY,CK Hutchison Holdings Limited,5.16,0.23,4.67%,"27,420","5,40,227",20.013B,6.53,Top_Gainers
CLDX,"Celldex Therapeutics, Inc.",39.8,1.38,3.59%,"6,42,157","6,48,306",2.623B,,Top_Gainers
CLSK,"CleanSpark, Inc.",15.85,0.89,5.95%,29.134M,30.141M,3.612B,121.92,"Top_Gainers, Most_active"
CMCSA,Comcast Corporation,38.29,0.54,1.43%,16.655M,19.99M,150.236B,10.16,Most_active
CMG,"Chipotle Mexican Grill, Inc.",57.67,0.12,0.21%,13.936M,15.958M,79.201B,62.01,Most_active
CNC,Centene Corporation,67.86,0.61,0.91%,3.922M,3.752M,36.214B,13.38,Undervalued_growth_stocks
CNQ,Canadian Natural Resources Limited,35.53,-1.02,-2.79%,5.74M,4.673M,77.165B,14.33,Top_Losers
COTY,Coty Inc.,10.44,0.36,3.57%,4.256M,3.884M,9.06B,45.39,Top_Gainers
CPA,"Copa Holdings, S.A.",96.35,-0.53,-0.55%,"2,37,230","2,66,666",4.017B,6.93,Undervalued_growth_stocks
CRC,California Resources Corporation,51.4,-1.51,-2.85%,"9,52,597","9,14,709",4.584B,14.48,Top_Losers
CROX,"Crocs, Inc.",139.24,-3.65,-2.55%,1.407M,1.205M,8.452B,10.8,Top_Losers
CSCO,"Cisco Systems, Inc.",47.38,0.62,1.33%,20.881M,19.472M,190.885B,16.01,Most_active
