Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
GOOG,Alphabet Inc.,186.78,-0.52,-0.28%,14.353M,18.588M,2.297T,28.65
JPM,JPMorgan Chase & Co.,204.94,-2.51,-1.21%,14.72M,9.278M,588.52B,11.43
NKE,"NIKE, Inc.",73.42,+0.03,+0.04%,13.896M,13.09M,110.817B,19.68
CMG,"Chipotle Mexican Grill, Inc.",57.67,+0.12,+0.21%,13.936M,15.958M,79.201B,62.01
UAA,"Under Armour, Inc.",6.87,-0.12,-1.72%,12.449M,9.19M,2.973B,13.21
UMC,United Microelectronics Corporation,8.32,+0.06,+0.73%,12.256M,8.576M,20.848B,12.42
NOK,Nokia Oyj,3.9900,+0.0500,+1.27%,12.428M,13.523M,21.971B,24.94
LYFT,"Lyft, Inc.",13.11,-0.42,-3.10%,12.359M,13.599M,5.29B,N/A
AUR,"Aurora Innovation, Inc.",3.7000,+0.3900,+11.78%,12.752M,9.344M,5.744B,N/A
MSFT,Microsoft Corporation,453.55,-1.15,-0.25%,16.178M,18.959M,3.371T,39.37
RF,Regions Financial Corporation,20.47,-0.24,-1.16%,11.076M,7.437M,18.747B,11.06
JD,"JD.com, Inc.",28.15,-0.48,-1.68%,11.829M,12.145M,43.899B,12.91
RKLB,"Rocket Lab USA, Inc.",5.65,+0.32,+6.00%,11.178M,7.492M,2.784B,N/A
ITUB,Itaú Unibanco Holding S.A.,6.19,0.00,0.00%,11.062M,18.48M,60.615B,9.24
ET,Energy Transfer LP,16.25,-0.06,-0.37%,11.305M,11.243M,54.785B,14.91
VZ,Verizon Communications Inc.,41.43,+0.13,+0.31%,11.059M,17.338M,174.389B,15.52
DNN,Denison Mines Corp.,2.2400,-0.0400,-1.75%,11.058M,15.806M,1.999B,37.33
GRAB,Grab Holdings Limited,3.6100,+0.0200,+0.56%,12.026M,21.032M,14.27B,N/A
NCLH,Norwegian Cruise Line Holdings Ltd.,19.53,+0.44,+2.30%,11.604M,13.98M,8.379B,24.11
ASTS,"AST SpaceMobile, Inc.",13.01,+1.11,+9.33%,10.731M,10.898M,3.469B,N/A
PATH,UiPath Inc.,12.63,+0.28,+2.27%,10.681M,11.022M,7.234B,N/A
U,Unity Software Inc.,17.11,+0.59,+3.57%,11.675M,8.613M,6.688B,N/A
SBUX,Starbucks Corporation,74.83,+1.53,+2.09%,10.422M,12.685M,84.76B,20.61
BTG,B2Gold Corp.,3.0400,+0.0600,+2.01%,10.377M,10.914M,3.974B,N/A
WRK,WestRock Company,51.51,+1.76,+3.54%,11.862M,3.209M,13.304B,42.57
KVUE,Kenvue Inc.,18.34,+0.42,+2.34%,11.337M,22.388M,35.118B,23.51
INFY,Infosys Limited,20.40,+0.51,+2.56%,10.575M,10.079M,84.873B,26.84
HOOD,"Robinhood Markets, Inc.",22.28,+0.24,+1.09%,10.167M,17.055M,19.58B,159.14
PCG,PG&E Corporation,18.12,+0.16,+0.89%,11.653M,12.885M,47.382B,16.18
CMCSA,Comcast Corporation,38.29,+0.54,+1.43%,16.655M,19.99M,150.236B,10.16
MPW,"Medical Properties Trust, Inc.",4.5200,0.0000,0.00%,9.726M,16.449M,2.712B,N/A
BTE,Baytex Energy Corp.,3.7200,-0.0200,-0.53%,9.822M,9.096M,3.007B,N/A
VRT,Vertiv Holdings Co,89.67,-3.19,-3.44%,10.27M,9.409M,33.568B,85.40
ASX,"ASE Technology Holding Co., Ltd.",11.90,-0.60,-4.80%,9.591M,5.685M,25.702B,24.29
RXRX,"Recursion Pharmaceuticals, Inc.",8.36,+0.68,+8.85%,10.133M,5.605M,2.244B,N/A
LUV,Southwest Airlines Co.,27.53,+0.56,+2.08%,16.345M,10.308M,16.475B,43.02
BK,The Bank of New York Mellon Corporation,64.69,+3.22,+5.24%,9.386M,3.5M,48.376B,15.33
AMCR,Amcor plc,9.91,+0.10,+1.02%,9.147M,8.356M,14.323B,22.02
ZIM,ZIM Integrated Shipping Services Ltd.,17.05,-0.82,-4.59%,9.266M,5.845M,2.051B,N/A
